region,sector,year,quarter,loan_amount
Bishkek,Individuals,2021,4,8344.390464532731
Bishkek,Other loans,2021,4,18142.74741443705
Bishkek,Industry,2022,1,10057.384076529137
Bishkek,"Agriculture, procurement and  processing",2022,1,4169.710599809032
Bishkek,Trade,2022,1,37622.50341769005
Bishkek,Construction,2022,1,9245.97422281349
Bishkek,Mortgage,2022,1,12722.65247092682
Bishkek,Individuals,2022,1,8620.901397615782
Bishkek,Other loans,2022,1,17128.29820786986
Bishkek,Industry,2022,2,10121.410673421871
Bishkek,"Agriculture, procurement and  processing",2022,2,3956.80410652212
Bishkek,Trade,2022,2,37445.57409608985
Bishkek,Construction,2022,2,8752.354213155184
Bishkek,Mortgage,2022,2,13816.635339379
Bishkek,Individuals,2022,2,9641.025617450841
Bishkek,Other loans,2022,2,15898.382798013034
Bishkek,Industry,2022,3,9360.640353867007
Bishkek,"Agriculture, procurement and  processing",2022,3,4204.975830459071
Bishkek,Trade,2022,3,36654.44668454341
Bishkek,Construction,2022,3,8338.229624702708
Bishkek,Mortgage,2022,3,14225.434317754516
Bishkek,Individuals,2022,3,11101.656031153712
Bishkek,Other loans,2022,3,15425.85760601845
Bishkek,Industry,2022,4,9625.969208379718
Bishkek,"Agriculture, procurement and  processing",2022,4,4099.7816344689145
Bishkek,Trade,2022,4,39340.0186633274
Bishkek,Construction,2022,4,8431.271986368676
Bishkek,Mortgage,2022,4,15314.384421225486
Bishkek,Individuals,2022,4,12438.62836455413
Bishkek,Other loans,2022,4,16149.980106128296
Bishkek,Industry,2023,1,8749.752295605591
Bishkek,"Agriculture, procurement and  processing",2023,1,4004.671427338441
Bishkek,Trade,2023,1,40925.222881555506
Bishkek,Construction,2023,1,8043.491018888371
Bishkek,Mortgage,2023,1,15234.811420677519
Bishkek,Individuals,2023,1,13572.855782522953
Bishkek,Other loans,2023,1,16261.77099299328
Bishkek,Industry,2023,2,8758.329424406402
Bishkek,"Agriculture, procurement and  processing",2023,2,3870.840551224653
Bishkek,Trade,2023,2,45035.86162841172
Bishkek,Construction,2023,2,7942.923698543217
Bishkek,Mortgage,2023,2,15620.61029867777
Bishkek,Individuals,2023,2,16441.930150639695
Bishkek,Other loans,2023,2,17152.493552554144
Bishkek,Industry,2023,3,8581.864511731113
Bishkek,"Agriculture, procurement and  processing",2023,3,3945.6003884652446
Bishkek,Trade,2023,3,46601.00115263343
Bishkek,Construction,2023,3,7817.411305918199
Bishkek,Mortgage,2023,3,16779.353636550968
Bishkek,Individuals,2023,3,19999.031888658417
Bishkek,Other loans,2023,3,17585.911725758815
Bishkek,Industry,2023,4,9506.92489941963
Bishkek,"Agriculture, procurement and  processing",2023,4,3833.691368275922
Bishkek,Trade,2023,4,53151.03509466762
Bishkek,Construction,2023,4,7660.56377547514
Bishkek,Mortgage,2023,4,17412.097875088308
Bishkek,Individuals,2023,4,21372.99385631819
Bishkek,Other loans,2023,4,17571.383269175058
Bishkek,Industry,2024,1,9935.08890134882
Bishkek,"Agriculture, procurement and  processing",2024,1,3687.1211367616474
Bishkek,Trade,2024,1,53910.85113575738
Bishkek,Construction,2024,1,7533.4555392635775
Bishkek,Mortgage,2024,1,17543.329613726775
Bishkek,Individuals,2024,1,22206.297445837958
Bishkek,Other loans,2024,1,17352.37476544522
Bishkek,Industry,2024,2,8339.957025058951
Bishkek,"Agriculture, procurement and  processing",2024,2,3658.7282533013167
Bishkek,Trade,2024,2,57051.272688276586
Bishkek,Construction,2024,2,9039.698847362519
Bishkek,Mortgage,2024,2,18085.649450706
Bishkek,Individuals,2024,2,25629.10431134632
Bishkek,Other loans,2024,2,17085.695850302905
Bishkek,Industry,2024,3,8564.129639196095
Bishkek,"Agriculture, procurement and  processing",2024,3,3747.2286902580004
Bishkek,Trade,2024,3,56817.56029300531
Bishkek,Construction,2024,3,8612.251506844
Bishkek,Mortgage,2024,3,19377.21748226799
Bishkek,Individuals,2024,3,30336.93766163787
Bishkek,Other loans,2024,3,17960.772112561146
Bishkek,Industry,2024,4,9583.778653502957
Bishkek,"Agriculture, procurement and  processing",2024,4,4602.719347179999
Bishkek,Trade,2024,4,67380.38302837017
Bishkek,Construction,2024,4,8648.807168970003
Bishkek,Mortgage,2024,4,21335.33662815
Bishkek,Individuals,2024,4,38886.8690369879
Bishkek,Other loans,2024,4,19961.624067908066
Bishkek,Industry,2025,1,9340.532378716
Bishkek,"Agriculture, procurement and  processing",2025,1,4705.764056136
Bishkek,Trade,2025,1,72935.3652735704
Bishkek,Construction,2025,1,8584.984245012
Bishkek,Mortgage,2025,1,23231.507777704795
Bishkek,Individuals,2025,1,47460.10962699832
Bishkek,Other loans,2025,1,21448.38812061405
Bishkek,Industry,2025,2,10114.260036694148
Bishkek,"Agriculture, procurement and  processing",2025,2,4605.5476064821
Bishkek,Trade,2025,2,79252.22892344407
Bishkek,Construction,2025,2,9413.146780073359
Bishkek,Mortgage,2025,2,25077.288996981966
Bishkek,Individuals,2025,2,61622.18936660117
Bishkek,Other loans,2025,2,23648.137897680186
Bishkek,Industry,2025,3,6806.51994759
Bishkek,"Agriculture, procurement and  processing",2025,3,7658.28437463
Bishkek,Trade,2025,3,79605.11422953999
Bishkek,Construction,2025,3,10999.69723425
Bishkek,Mortgage,2025,3,26465.68906289
Bishkek,Individuals,2025,3,79063.42053867
Bishkek,Other loans,2025,3,26874.21175298999
Bishkek,Industry,2025,4,9836.905310129847
Bishkek,"Agriculture, procurement and  processing",2025,4,8026.846693823984
Bishkek,Trade,2025,4,86030.04053470431
Bishkek,Construction,2025,4,12438.216719776254
Bishkek,Mortgage,2025,4,35629.397122465474
Bishkek,Individuals,2025,4,89024.61036710831
Bishkek,Other loans,2025,4,29822.470311059253
Batken oblast,Industry,2018,1,203.06731807634986
Batken oblast,"Agriculture, procurement and  processing",2018,1,1530.851433120044
Batken oblast,Trade,2018,1,864.8933440128624
Batken oblast,Construction,2018,1,117.447202476175
Batken oblast,Mortgage,2018,1,133.69966737399997
Batken oblast,Individuals,2018,1,605.8414130377977
Batken oblast,Other loans,2018,1,229.0107851391452
Batken oblast,Industry,2018,2,235.97332983951773
Batken oblast,"Agriculture, procurement and  processing",2018,2,1651.527030918317
Batken oblast,Trade,2018,2,900.0422271821377
Batken oblast,Construction,2018,2,162.79075749819998
Batken oblast,Mortgage,2018,2,134.0002960264
Batken oblast,Individuals,2018,2,651.5245210650794
Batken oblast,Other loans,2018,2,248.62186798796387
Batken oblast,Industry,2018,3,243.45110096944683
Batken oblast,"Agriculture, procurement and  processing",2018,3,1594.7587355543571
Batken oblast,Trade,2018,3,894.3231597888968
Batken oblast,Construction,2018,3,197.65904239460102
Batken oblast,Mortgage,2018,3,134.372615551975
Batken oblast,Individuals,2018,3,750.0735168452093
Batken oblast,Other loans,2018,3,255.31430797112898
Batken oblast,Industry,2018,4,259.477445352
Batken oblast,"Agriculture, procurement and  processing",2018,4,1558.4567110941632
Batken oblast,Trade,2018,4,921.8688809021902
Batken oblast,Construction,2018,4,204.3775349225
Batken oblast,Mortgage,2018,4,144.7789836125
Batken oblast,Individuals,2018,4,820.3971888232661
Batken oblast,Other loans,2018,4,264.76446853613805
Batken oblast,Industry,2019,1,291.26547843182556
Batken oblast,"Agriculture, procurement and  processing",2019,1,1617.3524167644418
Batken oblast,Trade,2019,1,890.040683088905
Batken oblast,Construction,2019,1,217.3539984870496
Batken oblast,Mortgage,2019,1,148.1244363596847
Batken oblast,Individuals,2019,1,802.8932482764548
Batken oblast,Other loans,2019,1,262.27071497167424
Batken oblast,Industry,2019,2,327.85446931
Batken oblast,"Agriculture, procurement and  processing",2019,2,1770.075209484799
Batken oblast,Trade,2019,2,951.1100903277439
Batken oblast,Construction,2019,2,263.953103859552
Batken oblast,Mortgage,2019,2,153.74114273091203
Batken oblast,Individuals,2019,2,854.7963100243671
Batken oblast,Other loans,2019,2,279.50427167064794
Batken oblast,Industry,2019,3,328.30819089
Batken oblast,"Agriculture, procurement and  processing",2019,3,1809.2663488459762
Batken oblast,Trade,2019,3,953.5603099971631
Batken oblast,Construction,2019,3,296.2007388795842
Batken oblast,Mortgage,2019,3,166.153273108541
Batken oblast,Individuals,2019,3,932.288566163629
Batken oblast,Other loans,2019,3,282.1039912737421
Batken oblast,Industry,2019,4,369.302218
Batken oblast,"Agriculture, procurement and  processing",2019,4,1857.3488388541891
Batken oblast,Trade,2019,4,951.1358336427361
Batken oblast,Construction,2019,4,308.51054129569695
Batken oblast,Mortgage,2019,4,177.056797117046
Batken oblast,Individuals,2019,4,998.3841670745009
Batken oblast,Other loans,2019,4,298.463936739075
Batken oblast,Industry,2020,1,399.09789283000003
Batken oblast,"Agriculture, procurement and  processing",2020,1,1827.1442354010762
Batken oblast,Trade,2020,1,1005.3895904051577
Batken oblast,Construction,2020,1,297.0456546102
Batken oblast,Mortgage,2020,1,193.66933877740001
Batken oblast,Individuals,2020,1,979.2644680456131
Batken oblast,Other loans,2020,1,311.8756582285001
Batken oblast,Industry,2020,2,399.29436432
Batken oblast,"Agriculture, procurement and  processing",2020,2,1907.7695371899995
Batken oblast,Trade,2020,2,967.8276156330991
Batken oblast,Construction,2020,2,290.331662756378
Batken oblast,Mortgage,2020,2,193.65542314241102
Batken oblast,Individuals,2020,2,907.6326475630001
Batken oblast,Other loans,2020,2,293.267384941269
Batken oblast,Industry,2020,3,437.48909417
Batken oblast,"Agriculture, procurement and  processing",2020,3,1961.5969773395477
Batken oblast,Trade,2020,3,976.8143678601509
Batken oblast,Construction,2020,3,301.1968536819999
Batken oblast,Mortgage,2020,3,214.66921832800003
Batken oblast,Individuals,2020,3,916.5003138431028
Batken oblast,Other loans,2020,3,298.213739918
Batken oblast,Industry,2020,4,421.4742983
Batken oblast,"Agriculture, procurement and  processing",2020,4,1935.9004820546304
Batken oblast,Trade,2020,4,1002.7636992554263
Batken oblast,Construction,2020,4,308.68319930571937
