year,month,sector,outstanding_loans,interest_rate
2018,4,Consumer loans,11002.735200000001,26.135938305685997
2018,4,Social services,4067.9518000000007,12.7637845386959
2018,4,Other ,10209.291,13.096469516541399
2018,5,Industry,10311.5872,11.110193009181
2018,5,Agriculture,24038.3283,16.9188097623286
2018,5,Transport,2018.5828000000004,16.8960699224228
2018,5,Сommunication,148.4506,11.500029504764498
2018,5,Trade,33620.359,14.2288504056129
2018,5,Procurement and processing,936.2218,7.86214963163643
2018,5,Construction ,8544.6033,12.7928493171825
2018,5,Mortgage,10961.223099999997,14.323715861873099
2018,5,Consumer loans,11327.9955,26.0449944310977
2018,5,Social services,4229.2416,12.629547543464998
2018,5,Other ,10412.2993,13.022213131637498
2018,6,Industry,10602.826800000003,10.584985227996
2018,6,Agriculture,24593.9761,16.710159052647
2018,6,Transport,1981.3851000000002,16.992350984167597
2018,6,Сommunication,145.3132,11.3892582573366
2018,6,Trade,34364.5354,13.943703021225799
2018,6,Procurement and processing,955.0361,7.84895380499229
2018,6,Construction ,9076.679100000001,12.588823633304399
2018,6,Mortgage,11035.6068,14.3169118608865
2018,6,Consumer loans,11619.985700000001,25.8678795262201
2018,6,Social services,4335.914400000001,12.586098341332601
2018,6,Other ,10845.2346,12.8984889883341
2018,7,Industry,11143.2507,10.5608185787295
2018,7,Agriculture,24504.671400000003,16.709231807328
2018,7,Transport,2009.3506,16.8141581782691
2018,7,Сommunication,155.60930000000002,11.1971338988094
2018,7,Trade,34077.8413,13.957995186214998
2018,7,Procurement and processing,980.3408000000001,7.7363512790654
2018,7,Construction ,9716.3394,12.2590437839172
2018,7,Mortgage,11104.5803,14.3832467918666
2018,7,Consumer loans,12060.5301,25.731051533381596
2018,7,Social services,4482.9857,12.509682921585
2018,7,Other ,10929.5728,12.901595554219599
2018,8,Industry,11156.3214,10.6316931192929
2018,8,Agriculture,24464.6878,16.7644883554165
2018,8,Transport,2050.8103,16.5839475318609
2018,8,Сommunication,148.0899,11.305100482882398
2018,8,Trade,34510.2505,13.8358184174004
2018,8,Procurement and processing,999.1603,7.6455853720369
2018,8,Construction ,10331.2425,12.2016551187333
2018,8,Mortgage,11232.5121,14.3502333489585
2018,8,Consumer loans,12507.7544,25.5566385960537
2018,8,Social services,4610.4695,12.4502576856869
2018,8,Other ,11401.2057,12.8054243401643
2018,9,Industry,11175.66,10.626805171148698
2018,9,Agriculture,24310.7483,16.839157638969102
2018,9,Transport,2097.5603,16.604921846108503
2018,9,Сommunication,146.9878,11.3075003231561
2018,9,Trade,34100.6711,13.9549413270638
2018,9,Procurement and processing,1053.8204,7.540932528920489
2018,9,Construction ,10410.0138,12.2383445772185
2018,9,Mortgage,11409.551899999999,14.2370147114191
2018,9,Consumer loans,12946.469099999998,25.388761055707494
2018,9,Social services,4708.148,12.3952476846522
2018,9,Other ,11515.4002,12.849016096982899
2018,10,Industry,11239.6138,10.612722473613799
2018,10,Agriculture,24298.0,16.954122669314298
2018,10,Transport,2259.4868,16.1994891720545
2018,10,Сommunication,142.4847,11.281912794847399
2018,10,Trade,34084.2863,13.978058259914299
2018,10,Procurement and processing,1193.7923,7.44516146904281
2018,10,Construction ,10629.1934,12.3601579727583
2018,10,Mortgage,11631.464400000003,14.2126208242532
2018,10,Consumer loans,13384.1231,25.177822303651695
2018,10,Social services,4679.6403,12.4141950963624
2018,10,Other ,11521.422200000003,12.858535819215101
2018,11,Industry,11327.169,10.513495979357199
2018,11,Agriculture,23954.8338,17.0610875173761
2018,11,Transport,2306.1117,16.2538751869651
2018,11,Сommunication,134.3954,11.4904702690717
2018,11,Trade,34388.2437,13.8764742502392
2018,11,Procurement and processing,1226.9941000000001,7.390596315010808
2018,11,Construction ,10705.1085,12.2780932641645
2018,11,Mortgage,11696.3748,14.1634747797241
2018,11,Consumer loans,13606.6893,24.9847930546191
2018,11,Social services,5018.852800000001,12.1074053464967
2018,11,Other ,11673.931300000002,12.7411992962474
2018,12,Industry,11507.406,10.343216863991803
2018,12,Agriculture,23670.449399999998,17.1721929019649
2018,12,Transport,2379.9487,16.2628043213705
2018,12,Сommunication,132.3178,11.597308275984
2018,12,Trade,34914.1935,13.750683500221799
2018,12,Procurement and processing,1295.169,7.30087580385262
2018,12,Construction ,11301.1819,12.1342466450345
2018,12,Mortgage,12283.1357,13.8637909805881
2018,12,Consumer loans,13736.0522,25.128416328164498
2018,12,Social services,5105.585300000001,11.998179592455296
2018,12,Other ,11556.624399999999,12.752474706801102
2019,1,Industry,11353.6492,10.3148112688738
2019,1,Agriculture,23135.109899999996,17.168078888745598
2019,1,Transport,2368.4693,16.410744622697894
2019,1,Сommunication,134.4077,11.546514969008502
2019,1,Trade,34592.7986,13.6301813974658
2019,1,Procurement and processing,1258.4381,7.27011699979522
2019,1,Construction ,11284.5786,12.0568162946732
2019,1,Mortgage,12297.1318,13.8170263911459
2019,1,Consumer loans,13548.3053,25.119970601563
2019,1,Social services,5021.4529,11.9343112181735
2019,1,Other ,11412.029499999999,12.743549577838001
2019,2,Industry,11164.996,10.300232426505099
2019,2,Agriculture,22947.002099999998,17.2009312945067
2019,2,Transport,2463.6427000000003,16.472921382633903
2019,2,Сommunication,132.63060000000002,11.4199442662553
2019,2,Trade,35512.9112,13.5440932273668
2019,2,Procurement and processing,1251.8716000000002,7.20846251724218
2019,2,Construction ,11349.8555,11.982750115981698
2019,2,Mortgage,12511.779499999999,13.751484994120899
2019,2,Consumer loans,13480.3649,25.0254621620814
2019,2,Social services,4460.8391,11.940114678424498
2019,2,Other ,11969.518300000002,12.764896033619003
2019,3,Industry,11254.5511,10.3316349347776
2019,3,Agriculture,24530.374300000003,16.7893776253956
2019,3,Transport,2569.7785000000003,16.525938997077002
2019,3,Сommunication,131.2133,11.265183331262898
2019,3,Trade,35976.4633,13.585641562910398
2019,3,Procurement and processing,1380.7537,7.189722597158348
2019,3,Construction ,11820.0634,11.8746061011822
2019,3,Mortgage,12583.4919,13.7268686808627
2019,3,Consumer loans,13552.836,24.9207727134749
2019,3,Social services,4503.1301,12.0903596373998
2019,3,Other ,12326.0271,12.736433994210499
2019,4,Industry,11372.287199999999,10.358687602437598
2019,4,Agriculture,26189.9644,16.6043514248916
2019,4,Transport,2638.9197,16.4876405022858
2019,4,Сommunication,195.12,12.509517117671201
2019,4,Trade,36534.4808,13.5428612772567
2019,4,Procurement and processing,1464.2910000000002,7.11136284044633
2019,4,Construction ,12150.901699999999,11.8465588150549
2019,4,Mortgage,12730.5364,13.7173178451459
2019,4,Consumer loans,13973.9667,24.842781712511197
2019,4,Social services,4714.7783,11.9056487396237
2019,4,Other ,12328.954,12.757056393348499
2019,5,Industry,11236.447900000001,10.3134408211869
2019,5,Agriculture,27206.2221,16.5425470184631
2019,5,Transport,2684.5759999999996,16.541795729009
2019,5,Сommunication,190.5525,12.5023392503378
2019,5,Trade,36242.463,13.4278471909318
2019,5,Procurement and processing,1580.7387000000003,7.13681578808692
2019,5,Construction ,12273.1778,11.9214135336653
2019,5,Mortgage,13000.4995,13.663956725124299
2019,5,Consumer loans,14607.122800000001,24.782668274206593
2019,5,Social services,4731.7132,11.952529504746801
2019,5,Other ,12650.3624,12.749979459402699
2019,6,Industry,11426.5304,10.22776268245
2019,6,Agriculture,27338.4084,16.5249609157935
2019,6,Transport,2772.5573,16.4901049157758
2019,6,Сommunication,186.0311,14.8016439186781
2019,6,Trade,36762.3485,13.6676683602246
2019,6,Procurement and processing,1632.8784,7.127868198881189
2019,6,Construction ,12679.563799999998,11.877744196137101
2019,6,Mortgage,13207.853899999998,13.600610907121
2019,6,Consumer loans,14923.939600000002,24.6828663130612
2019,6,Social services,4861.0885,12.0120684967986
2019,6,Other ,12755.8079,12.7923246759619
2019,7,Industry,11274.1129,10.17781572881
2019,7,Agriculture,27438.3954,16.551040154665902
2019,7,Transport,2761.5226000000002,16.638047777338503
2019,7,Сommunication,193.93550000000002,14.413664878271398
2019,7,Trade,36977.2622,13.559732358849399
2019,7,Procurement and processing,1773.2061999999999,7.215193255020199
2019,7,Construction ,12910.1773,11.907429343514899
2019,7,Mortgage,13554.949700000003,13.5299649831235
2019,7,Consumer loans,15440.276300000001,24.594902084621395
2019,7,Social services,4973.3867,12.053511007096999
2019,7,Other ,12740.3358,12.718462709201098
2019,8,Industry,11196.8668,10.1586354591626
2019,8,Agriculture,27681.7734,16.600760521939698
2019,8,Transport,2791.2516000000005,16.6158006895545
2019,8,Сommunication,261.8431,14.5758594708052
2019,8,Trade,37005.1126,13.5471987298858
2019,8,Procurement and processing,1742.0082,7.198437317918479
2019,8,Construction ,13478.3826,11.895009464785499
2019,8,Mortgage,13919.5321,13.398561693535699
2019,8,Consumer loans,15896.063799999998,24.454522810294698
2019,8,Social services,5094.1543,12.061903564640698
2019,8,Other ,13184.469099999998,12.6221708354567
2019,9,Industry,11173.3636,10.114755633478199
2019,9,Agriculture,27676.036,16.690062320846796
2019,9,Transport,2812.3621000000003,16.6757226784559
2019,9,Сommunication,256.6429,14.570441820132197
2019,9,Trade,37073.3543,13.521184277167002
2019,9,Procurement and processing,1786.7402000000002,7.231651542289139
2019,9,Construction ,13455.8174,11.952755039169901
2019,9,Mortgage,14195.564699999999,13.3558107001548
2019,9,Consumer loans,16192.871,24.401973026463295
2019,9,Social services,5052.3347,11.9978958605019
2019,9,Other ,13109.1558,12.686101888269599
2019,10,Industry,11356.1486,10.1855447768621
2019,10,Agriculture,27718.021200000003,16.8624480514143
2019,10,Transport,2931.777,16.5218853183581
2019,10,Сommunication,253.9547,14.5825451901461
2019,10,Trade,36946.9637,13.634153796432301
2019,10,Procurement and processing,1806.2177000000001,7.23807226061399
2019,10,Construction ,13393.354500000001,11.902564475613598
2019,10,Mortgage,14429.633999999998,13.296440547140698
2019,10,Consumer loans,16648.5901,24.2596605376812
2019,10,Social services,5120.7093,12.007462558946703
2019,10,Other ,13469.196900000003,12.568387296869899
2019,11,Industry,11008.6168,10.1443638461464
2019,11,Agriculture,27675.090700000004,16.8725333762321
2019,11,Transport,2998.2574,16.592946344433297
2019,11,Сommunication,252.7484,14.6046148937046
2019,11,Trade,36700.9337,13.509136134702798
2019,11,Procurement and processing,1792.2052,7.3025980791708385
2019,11,Construction ,13299.353899999998,11.8978001032065
2019,11,Mortgage,14668.5784,13.264918303194301
2019,11,Consumer loans,16960.65,24.212216634327103
2019,11,Social services,5233.4543,11.9561267836045
2019,11,Other ,13610.574,12.6002952702068
2019,12,Industry,11617.6947,9.816071527684398
2019,12,Agriculture,27700.5106,16.9444029708247
2019,12,Transport,2989.4233000000004,16.8116013028332
2019,12,Сommunication,261.8603,12.3841833527266
2019,12,Trade,37229.3251,13.5549958520199
2019,12,Procurement and processing,1936.9347,7.422188622053188
2019,12,Construction ,13050.712099999999,11.8146693460505
2019,12,Mortgage,15304.106699999998,13.1311740240938
2019,12,Consumer loans,17234.4339,24.132480417357897
2019,12,Social services,5101.141500000001,11.695705971300702
2019,12,Other ,14012.4282,12.580811244906096
2020,1,Industry,11499.9716,9.82492066076059
2020,1,Agriculture,27272.216,16.9633902698996
2020,1,Transport,2977.9133,16.8526654050002
2020,1,Сommunication,259.1659,12.370012351161899
2020,1,Trade,37546.3124,13.393601492646198
2020,1,Procurement and processing,1842.0695,7.388755516010659
